team_abbr,position,player_name,number,formation,status,height,weight,college,experience,age,birth_date,entry_year,draft_pick,completions_season,attempts_season,passing_yards_season,passing_tds_season,interceptions_season,carries_season,rushing_yards_season,rushing_tds_season,receptions_season,targets_season,receiving_yards_season,receiving_tds_season,games_played,espn_player_id
LAR,QB,Matthew Stafford,9,3WR 1TE,ACT,75.0,220,Georgia,16,37.0,1988-02-07,2009,1,139.0,209.0,1684.0,12.0,2.0,15.0,-3.0,0.0,0.0,0.0,0.0,0.0,6,12483
LAR,TE,Tyler Higbee,89,3WR 1TE,ACT,78.0,257,Western Kentucky,9,32.0,1993-01-01,2016,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,102.0,1.0,5,2573401
LAR,RB,Kyren Williams,23,3WR 1TE,ACT,69.0,199,Notre Dame,3,25.0,2000-08-26,2022,164,0.0,0.0,0.0,0.0,0.0,95.0,418.0,2.0,18.0,23.0,155.0,3.0,6,4430737
LAR,RB,Blake Corum,22,3WR 1TE,ACT,68.0,213,Michigan,1,25.0,2000-11-25,2024,83,0.0,0.0,0.0,0.0,0.0,29.0,156.0,1.0,3.0,7.0,9.0,0.0,6,4429096
LAC,LDE,Da'Shawn Hand,91,Base 3-4 D,RES,75.0,297,Alabama,7,30.0,1995-11-14,2018,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3126352
LAC,NT,Teair Tart,90,Base 3-4 D,ACT,74.0,290,Florida International,5,28.0,1997-02-28,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4374269
LAC,RDE,Otito Ogbonnia,93,Base 3-4 D,ACT,76.0,320,UCLA,3,25.0,2000-08-25,2022,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4367210
LAC,WLB,Tuli Tuipulotu,45,Base 3-4 D,ACT,75.0,290,USC,2,23.0,2002-09-03,2023,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4431442
LAC,LILB,Daiyan Henley,0,Base 3-4 D,ACT,73.0,232,Washington State; Nevada,2,26.0,1999-11-18,2023,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4241597
LAC,RILB,Denzel Perryman,6,Base 3-4 D,RES,71.0,240,Miami,10,33.0,1992-12-05,2015,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2579621
LAC,SLB,Khalil Mack,52,Base 3-4 D,RES,75.0,269,Buffalo,11,34.0,1991-02-22,2014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16710
LAC,LCB,Donte Jackson,26,Base 3-4 D,ACT,70.0,180,LSU,7,30.0,1995-11-08,2018,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3843769
LAC,SS,Derwin James Jr.,3,Base 3-4 D,ACT,74.0,215,Florida State,7,29.0,1996-08-03,2018,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3691739
LAC,FS,Alohi Gilman,0,Base 3-4 D,,,0,,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,
LAC,RCB,Cam Hart,20,Base 3-4 D,ACT,74.0,205,Notre Dame,1,25.0,2000-12-05,2024,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4427404
LAC,NB,Tarheeb Still,29,Base 3-4 D,ACT,73.0,196,Maryland,1,23.0,2002-06-09,2024,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4432571
LAC,WR,Ladd McConkey,15,3WR 1TE,ACT,72.0,185,Georgia,1,24.0,2001-11-11,2024,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,313.0,2.0,6,4612826
LAC,LT,Joe Alt,76,3WR 1TE,ACT,80.0,322,Notre Dame,1,22.0,2003-02-28,2024,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4683487
LAC,LG,Zion Johnson,77,3WR 1TE,ACT,75.0,305,Boston College; Davidson,3,26.0,1999-11-18,2022,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4247347
LAC,C,Bradley Bozeman,75,3WR 1TE,ACT,77.0,317,Alabama,7,31.0,1994-11-24,2018,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3054842
LAR,WR,Puka Nacua,12,3WR 1TE,ACT,74.0,205,BYU; Washington,2,24.0,2001-05-29,2023,177,0.0,0.0,0.0,0.0,0.0,3.0,52.0,1.0,54.0,65.0,616.0,2.0,6,4426515
HOU,LG,Laken Tomlinson,75,3WR 1TE,ACT,75.0,312,Duke,10,33.0,1992-02-09,2015,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2512477
LAR,NB,Cobie Durant,14,Base 3-4 D,ACT,71.0,175,South Carolina State,3,27.0,1998-02-09,2022,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4384549
LAR,FS,Quentin Lake,37,Base 3-4 D,ACT,73.0,205,UCLA,3,26.0,1999-01-29,2022,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4249128
KC,SLB,Leo Chenal,54,Base 4-3 D,ACT,75.0,261,Wisconsin,3,25.0,2000-10-26,2022,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4426901
KC,LCB,Trent McDuffie,22,Base 4-3 D,ACT,71.0,195,Washington,3,25.0,2000-09-13,2022,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4426405
KC,SS,Chamarri Conner,27,Base 4-3 D,ACT,72.0,206,Virginia Tech,2,25.0,2000-07-11,2023,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4361964
KC,FS,Bryan Cook,6,Base 4-3 D,ACT,73.0,210,Cincinnati; Howard,3,26.0,1999-09-07,2022,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4247726
KC,RCB,Kristian Fulton,8,Base 4-3 D,ACT,71.0,200,LSU,5,27.0,1998-09-03,2020,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4035433
KC,NB,Jaylen Watson,35,Base 4-3 D,ACT,74.0,204,Washington State; Ventura,3,27.0,1998-09-17,2022,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4697639
KC,WR,Xavier Worthy,1,3WR 1TE,ACT,71.0,172,Texas,1,22.0,2003-04-27,2024,28,0.0,0.0,0.0,0.0,0.0,5.0,53.0,0.0,13.0,22.0,145.0,1.0,4,4683062
KC,LT,Josh Simmons,71,3WR 1TE,ACT,77.0,310,Ohio State; San Diego State,0,23.0,2002-12-26,2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4569659
KC,LG,Kingsley Suamataia,76,3WR 1TE,ACT,76.0,325,BYU; Oregon,1,22.0,2003-01-18,2024,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4431595
KC,C,Creed Humphrey,52,3WR 1TE,ACT,76.0,316,Oklahoma,4,26.0,1999-06-28,2021,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4241385
KC,RG,Trey Smith,65,3WR 1TE,ACT,78.0,325,Tennessee,4,26.0,1999-06-16,2021,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4242459
KC,RT,Jawaan Taylor,74,3WR 1TE,ACT,77.0,312,Florida,6,28.0,1997-11-25,2019,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4034961
KC,QB,Patrick Mahomes,15,3WR 1TE,ACT,74.0,230,Texas Tech,8,30.0,1995-09-17,2017,10,138.0,213.0,1514.0,11.0,2.0,38.0,222.0,4.0,0.0,0.0,0.0,0.0,6,3139477
KC,TE,Travis Kelce,87,3WR 1TE,ACT,77.0,260,Cincinnati,12,36.0,1989-10-05,2013,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,321.0,2.0,6,15847
KC,RB,Isiah Pacheco,10,3WR 1TE,ACT,70.0,215,Rutgers,3,26.0,1999-03-02,2022,251,0.0,0.0,0.0,0.0,0.0,51.0,214.0,0.0,10.0,15.0,46.0,1.0,6,4361529
KC,RB,Kareem Hunt,29,3WR 1TE,ACT,71.0,216,Toledo,8,30.0,1995-08-06,2017,86,0.0,0.0,0.0,0.0,0.0,49.0,187.0,3.0,7.0,8.0,55.0,0.0,6,3059915
LAR,LDE,Braden Fiske,55,Base 3-4 D,ACT,77.0,300,Florida State; Western Michigan,1,25.0,2000-01-18,2024,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4362245
LAR,NT,Poona Ford,95,Base 3-4 D,ACT,71.0,310,Texas,7,30.0,1995-11-19,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3125114
LAR,RDE,Kobie Turner,91,Base 3-4 D,ACT,74.0,290,Wake Forest,2,26.0,1999-04-26,2023,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4250621
LAR,WLB,Byron Young,0,Base 3-4 D,ACT,74.0,245,Tennessee,2,27.0,1998-03-13,2023,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4875196
LAR,LILB,Nate Landman,53,Base 3-4 D,ACT,75.0,230,Colorado,3,27.0,1998-11-19,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4243181
LAR,RILB,Omar Speights,48,Base 3-4 D,ACT,73.0,235,LSU; Oregon State,1,24.0,2001-03-02,2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4428550
LAR,SLB,Jared Verse,8,Base 3-4 D,ACT,76.0,260,Florida State; Albany,1,25.0,2000-11-04,2024,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4578085
LAR,LCB,Darious Williams,31,Base 3-4 D,ACT,69.0,187,UAB,7,32.0,1993-03-15,2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4239833
LAR,SS,Kam Curl,3,Base 3-4 D,ACT,74.0,203,Arkansas,5,26.0,1999-03-03,2020,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4242154
LAR,RCB,Ahkello Witherspoon,4,Base 3-4 D,RES,74.0,195,Colorado; Sacramento City,8,30.0,1995-03-21,2017,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3122630
HOU,LT,Cam Robinson,68,3WR 1TE,ACT,78.0,320,Alabama,8,30.0,1995-10-09,2017,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,
HOU,WR,Nico Collins,12,3WR 1TE,ACT,76.0,222,Michigan,4,26.0,1999-03-19,2021,89,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,22.0,36.0,312.0,3.0,5,4258173
HOU,NB,Jalen Pitre,5,Base 4-3 D,ACT,72.0,200,Baylor,3,26.0,1999-06-03,2022,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4241223
DAL,QB,Dak Prescott,4,3WR 1TE,ACT,74.0,238,Mississippi State,9,32.0,1993-07-29,2016,135,164.0,229.0,1617.0,13.0,3.0,14.0,49.0,1.0,0.0,0.0,0.0,0.0,6,2577417
DAL,TE,Jake Ferguson,87,3WR 1TE,ACT,77.0,244,Wisconsin,3,26.0,1999-01-18,2022,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,51.0,305.0,4.0,6,4242355
DAL,RB,Javonte Williams,33,3WR 1TE,ACT,70.0,220,North Carolina,4,25.0,2000-04-25,2021,35,0.0,0.0,0.0,0.0,0.0,92.0,476.0,5.0,22.0,28.0,83.0,1.0,6,4361579
